description,domain,sub_domain
Plastic Surgery is an area of medicine in which a person's physical and emotional well being can be assessed.,Medical,Plastic Surgery
"General Surgery (GST) is the management of surgical operations in a medical setting, such as surgery for abrasions, cuts, and injuries.",Medical,General Surgery
"Hematology is a medical discipline that encompasses the study of the disease of the hematosphere, as well as other diseases.",Medical,Hematology
Emergency Medicine is the medical specialty in which medicine has become very popular.,Medical,Emergency Medicine
Pediatrics in the Medical domain is the major medical field in which medicine is concerned.,Medical,Pediatrics
Hematology in the Medical domain is the study of organ function and is a major part of the hematoma.,Medical,Hematology
Radiology is the study of the physical and chemical properties of the atoms in matter or gas.,Medical,Radiology
"Orthopedics is a discipline in medicine which is considered the most advanced medical science in terms of development, teaching, and research.",Medical,Orthopedics
"Pathology is a scientific discipline that deals with the diagnosis and treatment of disease, disease, and disorders.",Medical,Pathology
Cardiology is the study of the circulatory system.,Medical,Cardiology
A review of the most recent clinical trials in endocrinology in the medical domain.,Medical,Endocrinology
Anesthesiology is the study of organ functions.,Medical,Anesthesiology
"Nephrology is a discipline in medicine that encompasses the diagnosis, treatment and prevention of kidney failure.",Medical,Nephrology
"Internal medicine is a field that deals with internal health. Its use is often confused with a medical profession, and focuses on the management of internal health issues.",Medical,Internal Medicine
"Endocrinology is a sub-field of medicine that deals with the disease of endocrinology, which involves endocrinology in the medical domain.",Medical,Endocrinology
Hematology in the Medical domain is a branch of medicine in which the diagnosis and treatment of cancers are based on the discovery of the cause of the disease.,Medical,Hematology
"Hematology is a branch of medicine, specialized in the treatment of cancers, as well as other diseases.",Medical,Hematology
"The CDC defines the category of emergency medicine as ""all kinds of medical care, emergency, non-medical, perinatal, emergency, surgical, pharmacological, surgical, neurosurgery, radiology, and other"" and ""internal or external medicine, trauma, emergency, surgery, and/or acquiescence"".",Medical,Emergency Medicine
Cancer is the most common cause of hepatitis B. It is the primary cause of hepatitis B. It is the second-leading cause of fatality in children aged 4–12.,Medical,Oncology
Nephrology is a field of medicine mainly concerned with the management of kidney failure.,Medical,Nephrology
Pediatrics in the Medical domain:,Medical,Pediatrics
General surgery is the general surgery of a medical practice.,Medical,General Surgery
This is a specialized sub-field of medicine. It encompasses the areas of cancer medicine and the medical sciences.,Medical,Oncology
"Neurology in the Medical domain is the branch of medicine focusing on the study of nervous system disorders, and the clinical application of neurology to neurological disease.",Medical,Neurology
Dermatology is the study of skin and hair in order to diagnose and treat conditions of the skin.,Medical,Dermatology
Infectious diseases in the Medical domain:,Medical,Infectious Diseases
Several countries in the world are offering the practice of emergency medicine.,Medical,Emergency Medicine
"Pediatrics in the Medical domain is a subfield of medicine, primarily the medical profession.",Medical,Pediatrics
Orthopedics is the treatment of injuries and illnesses caused by a medical procedure.,Medical,Orthopedics
Hematology is a medical discipline.,Medical,Hematology
Pediatrics (Medical) is the medical branch of medicine.,Medical,Pediatrics
"Endocrinology is the study of endocrinology. It includes a number of medical disciplines, including biochemistry, medicine, psychology, and neuroscience.",Medical,Endocrinology
Infectious diseases are defined as diseases that affect the immune system.,Medical,Infectious Diseases
Infectious diseases in the medical domain:,Medical,Infectious Diseases
Orthopedics in the Medical domain is a science of medicine that deals with both physical and mental aspects of medicine.,Medical,Orthopedics
Radiology is the study of the function of the atomic masses in the human body.,Medical,Radiology
"Cardiology in the Medical domain is the study of cardiology in the body. Cardiology is the science of the heart and nervous system, a branch of medicine.",Medical,Cardiology
Nephrology – Medical sciences,Medical,Nephrology
Endocrinology is a discipline of medicine that focuses on the study of the biological process of endocrinology.,Medical,Endocrinology
Medical emergency medicine is the medical specialty of the medical profession that deals with the management of medical emergencies.,Medical,Emergency Medicine
"General surgery is a type of surgery, in which the main function is to surgically remove the tissue of an organism and fix it to the place of death.",Medical,General Surgery
